Employee_ID,Employe_Name,Gender,Age,Date_of_Birth,Branch ,Department,Job_Role,Salary_Level,Work_Location,Joining_Date,Leaving_Date,Tenure_at_Company,Promotion_Attained,Still_Employed,Reason_for_Leaving,Satisfaction_Level,Engagement_Score,Performance_Rating,Average_Monthly_Work_Hours,Absenteeism_Days,Burnout_Risk,Yearly_Satisfaction_Feedback,Yearly_Engagement,Yearly_Work_Hours,Engagement_vs_Company,Absenteeism_vs_Company,Performance_vs_Company,Engagement_Change,Total_Training_Hours,Attended_Training_Hours,Absenteeism_Training_Hours,Attrition_Status
432,Garry Kuvalis,Male,47,7/18/1977,South_Africa,IT,Manager,High,On Site,8/18/2011,11/13/2011,0,No,No,Low Pay,0.82,0.76,1,134,2,Low,4,1,1608,0.26646,-13.168,-1.958,0.24,60,44,4,Yes
330,Doyle Konopelski,Female,35,6/23/1990,Singapore,Technical,Clerk,Low,On Site,2/1/2013,1/15/2014,0,No,No,Personal Issue,0.25,0.56,3,201,3,Medium,1,2,2412,0.06646,-12.168,0.042,1.44,50,34,3,Yes
61,Eleanor Prohaska,Female,44,5/20/1981,United_Kingdom,Technical,Engineer,Medium,Remote,3/2/2013,4/19/2013,0,No,No,Burn Out,0.85,0.25,1,229,0,Medium,3,5,2748,-0.24354,-15.168,-1.958,4.75,35,14,6,Yes
212,Jonathan Windler,Male,55,4/7/1970,South_Africa,Finance,Executive,High,Work From Home,5/10/2013,2/18/2014,0,Yes,No,Health Issues,0.11,0.6,1,178,13,Low,4,2,2136,0.10646,-2.168,-1.958,1.4,45,24,1,Yes
326,Darla Hyatt II,Female,51,8/27/1973,Singapore,IT,Analyst,Medium,Remote,2/14/2014,10/19/2014,0,Yes,No,Financial Problem,0.78,0.96,2,205,28,Medium,4,1,2460,0.46646,12.832,-0.958,0.04,45,34,7,Yes
370,Joel Yost,Female,45,10/2/1980,Singapore,Management,Executive,High,On Site,11/13/2014,10/23/2015,0,Yes,No,Personal Issue,0.22,0.81,5,155,13,Low,2,1,1860,0.31646,-2.168,2.042,0.19,55,4,0,Yes
175,Mack Franey,Female,29,2/15/1996,India,Management,Clerk,Low,Work From Home,3/2/2015,10/18/2015,0,Yes,No,Low Pay,0.72,0.4,5,251,25,High,1,3,3012,-0.09354,9.832,2.042,2.6,60,5,3,Yes
9,Vicky Wolff,Female,29,6/5/1996,United_Kingdom,Management,Executive,High,On Site,5/20/2015,12/13/2015,0,Yes,No,Low Pay,0.71,0.73,1,242,4,High,2,2,2904,0.23646,-11.168,-1.958,1.27,45,20,0,Yes
195,Nelson Kemmer,Female,54,1/2/1971,India,Management,Clerk,Low,Remote,2/27/2016,2/24/2017,0,Yes,No,Work Environment,0.14,0.9,5,250,2,High,1,1,3000,0.40646,-13.168,2.042,0.1,35,0,4,Yes
377,Martin Hickle,Male,50,9/22/1974,United_Kingdom,Management,Clerk,Low,Work From Home,11/12/2016,7/19/2017,0,No,No,Personal Issue,0.21,0.39,1,126,25,Low,1,5,1512,-0.10354,9.832,-1.958,4.61,60,13,0,Yes
130,Nettie Schuppe,Female,24,12/5/2001,Singapore,Finance,Clerk,Low,Work From Home,12/5/2016,4/1/2017,0,No,No,Work Environment,0.57,0.27,3,199,7,Low,4,1,2388,-0.22354,-8.168,0.042,0.73,35,10,1,Yes
405,Clay Fisher,Female,48,1/13/1977,United_Kingdom,IT,Executive,High,Remote,1/22/2017,2/16/2017,0,No,No,Financial Problem,0.88,0.13,3,156,9,Low,1,1,1872,-0.36354,-6.168,0.042,0.87,55,39,2,Yes
396,Cathy Schuppe,Female,53,7/24/1971,South_Africa,Technical,Analyst,Medium,On Site,5/21/2017,8/6/2017,0,No,No,Work Environment,0.51,0.01,3,204,28,Medium,2,3,2448,-0.48354,12.832,0.042,2.99,30,19,0,Yes
250,Sam Haag,Female,44,1/17/1981,Singapore,Finance,Engineer,Medium,On Site,7/26/2017,2/24/2018,0,Yes,No,Low Pay,0.84,0.47,3,152,19,Low,5,2,1824,-0.02354,3.832,0.042,1.53,45,41,0,Yes
362,Warren Carroll,Male,26,12/9/1998,Singapore,Sales,Engineer,Medium,Work From Home,8/18/2017,7/8/2018,0,No,No,Work Environment,0.35,0.42,2,194,15,Low,2,2,2328,-0.07354,-0.168,-0.958,1.58,50,37,4,Yes
243,Carlos Franecki,Male,23,10/17/2001,India,Sales,Manager,High,Work From Home,11/17/2017,2/11/2018,0,Yes,No,Health Issues,0.36,0.9,3,159,5,Low,1,4,1908,0.40646,-10.168,0.042,3.1,50,45,5,Yes
44,Roland Weimann,Female,57,11/12/1967,South_Africa,IT,Executive,High,On Site,8/13/2019,7/16/2020,0,Yes,No,Health Issues,0.28,0.18,1,218,15,Medium,4,2,2616,-0.31354,-0.168,-1.958,1.82,60,14,3,Yes
245,Lila Powlowski,Female,33,11/9/1991,United_Kingdom,Support,Engineer,Medium,On Site,9/1/2019,6/23/2020,0,No,No,Health Issues,0.99,0.49,5,140,29,Low,5,2,1680,-0.00354,13.832,2.042,1.51,35,23,3,Yes
247,Mr. Warren Strosin,Male,46,9/2/1979,India,Sales,Executive,High,Remote,8/14/2000,8/10/2002,1,Yes,No,Burn Out,0.19,0.86,4,253,18,High,4,4,3036,0.36646,2.832,1.042,3.14,55,45,6,Yes
148,Wesley Spencer,Male,41,8/28/1983,South_Africa,Technical,Analyst,Medium,On Site,9/7/2000,2/28/2002,1,Yes,No,Health Issues,0.48,0.66,4,253,25,High,2,3,3036,0.16646,9.832,1.042,2.34,35,11,3,Yes
361,Randal Koss,Female,41,1/25/1984,United_Kingdom,Management,Analyst,Medium,On Site,1/3/2001,2/16/2002,1,No,No,Health Issues,0.82,0.05,4,166,30,Low,1,1,1992,-0.44354,14.832,1.042,0.95,60,35,2,Yes
94,Marsha Schneider,Male,47,9/25/1977,Singapore,Technical,Executive,High,Work From Home,6/20/2001,10/9/2002,1,Yes,No,Work Environment,0.86,0.92,2,210,16,Medium,3,3,2520,0.42646,0.832,-0.958,2.08,30,26,7,Yes
230,Devin Gottlieb,Male,27,9/14/1997,Singapore,Support,Executive,High,Work From Home,11/16/2001,11/5/2003,1,Yes,No,Work Environment,0.61,0.14,4,155,20,Low,4,2,1860,-0.35354,4.832,1.042,1.86,55,15,1,Yes
232,Tammy Hintz,Female,34,1/5/1991,South_Africa,Management,Manager,High,Work From Home,4/20/2002,6/18/2003,1,Yes,No,Personal Issue,0.49,0.03,4,201,25,Medium,3,1,2412,-0.46354,9.832,1.042,0.97,55,42,0,Yes
183,Charles Jones,Male,59,4/6/1966,India,Management,Clerk,Low,Remote,4/5/2003,10/30/2004,1,No,No,Burn Out,0.77,0.26,5,216,3,Medium,3,1,2592,-0.23354,-12.168,2.042,0.74,60,53,0,Yes
84,Rudolph Emmerich DDS,Male,58,10/19/1966,South_Africa,Support,Engineer,Medium,Work From Home,8/7/2003,4/14/2005,1,Yes,No,Work Environment,0.16,0.81,3,197,25,Low,4,1,2364,0.31646,9.832,0.042,0.19,35,25,2,Yes
334,Melissa Wehner,Female,44,7/15/1980,Singapore,Finance,Engineer,Medium,Work From Home,11/23/2003,4/4/2005,1,No,No,Health Issues,0.54,0.2,1,231,18,Medium,4,1,2772,-0.29354,2.832,-1.958,0.8,35,2,7,Yes
295,Jane Predovic,Male,36,3/6/1989,India,Finance,Analyst,Medium,Work From Home,11/2/2004,6/16/2006,1,No,No,Personal Issue,0.94,0.82,1,246,0,High,4,3,2952,0.32646,-15.168,-1.958,2.18,35,0,4,Yes
238,Jack Robel-Labadie,Male,31,1/4/1994,Singapore,Management,Analyst,Medium,Work From Home,1/28/2005,7/7/2006,1,No,No,Work Environment,0.5,0.34,5,139,25,Low,4,4,1668,-0.15354,9.832,2.042,3.66,50,6,0,Yes
468,Wilfred Legros,Female,53,8/27/1971,South_Africa,Support,Analyst,Medium,Work From Home,3/22/2005,10/6/2006,1,No,No,Personal Issue,0.45,0.62,1,215,15,Medium,5,3,2580,0.12646,-0.168,-1.958,2.38,30,14,1,Yes
126,Laurie King,Male,56,1/18/1969,Singapore,Management,Analyst,Medium,On Site,10/10/2005,5/23/2007,1,Yes,No,Financial Problem,1,0.9,3,132,23,Low,5,1,1584,0.40646,7.832,0.042,0.1,50,2,3,Yes
346,Steve Nienow,Male,40,1/24/1985,Singapore,Management,Analyst,Medium,On Site,2/18/2006,7/21/2007,1,No,No,Burn Out,0.31,0.48,5,183,29,Low,3,3,2196,-0.01354,13.832,2.042,2.52,50,39,4,Yes
187,Olivia Moen,Male,57,8/17/1967,India,Finance,Engineer,Medium,On Site,5/23/2006,11/6/2007,1,Yes,No,Burn Out,0.75,0.17,2,240,22,Medium,4,1,2880,-0.32354,6.832,-0.958,0.83,60,24,0,Yes
496,Marc Feil,Male,59,11/9/1965,South_Africa,Support,Executive,High,Remote,1/4/2007,3/18/2008,1,Yes,No,Work Environment,0.16,0.68,4,251,10,High,2,4,3012,0.18646,-5.168,1.042,3.32,35,21,3,Yes
188,Edna Lynch,Female,37,2/25/1988,South_Africa,Finance,Clerk,Low,Work From Home,1/6/2007,1/28/2008,1,No,No,Low Pay,0.93,0.23,4,234,7,Medium,5,4,2808,-0.26354,-8.168,1.042,3.77,50,18,5,Yes
305,Dwight Bode,Male,40,1/15/1985,United_Kingdom,Technical,Clerk,Low,Remote,4/25/2007,4/30/2008,1,No,No,Financial Problem,0.94,0.68,1,179,26,Low,1,2,2148,0.18646,10.832,-1.958,1.32,30,29,2,Yes
138,Ted Bode,Female,34,1/6/1991,Singapore,IT,Clerk,Low,On Site,10/15/2007,10/24/2008,1,No,No,Burn Out,0.69,0.22,2,203,21,Medium,3,3,2436,-0.27354,5.832,-0.958,2.78,45,43,7,Yes
21,Dr. Patti Halvorson,Male,54,9/3/1971,United_Kingdom,IT,Executive,High,Remote,12/29/2007,1/22/2009,1,Yes,No,Financial Problem,0.14,0.34,1,161,2,Low,4,2,1932,-0.15354,-13.168,-1.958,1.66,30,22,1,Yes
129,Jacquelyn McKenzie,Male,47,6/6/1978,United_Kingdom,IT,Clerk,Low,Remote,4/8/2008,10/30/2009,1,No,No,Health Issues,0.89,0.99,2,159,12,Low,5,3,1908,0.49646,-3.168,-0.958,2.01,50,6,4,Yes
280,Dr. Alfonso Nikolaus,Female,26,7/29/1998,South_Africa,Sales,Engineer,Medium,Remote,12/29/2009,4/24/2011,1,No,No,Work Environment,0.96,0.38,3,226,26,Medium,2,3,2712,-0.11354,10.832,0.042,2.62,60,11,3,Yes
466,Charlene Hauck,Female,26,7/30/1998,Singapore,IT,Executive,High,On Site,4/6/2010,8/17/2011,1,No,No,Work Environment,0.08,0.03,4,153,12,Low,2,1,1836,-0.46354,-3.168,1.042,0.97,45,40,6,Yes
475,Gerard Kozey I,Female,31,7/22/1993,India,Support,Manager,High,Work From Home,6/6/2010,12/29/2011,1,No,No,Financial Problem,0.84,0.48,2,184,18,Low,4,4,2208,-0.01354,2.832,-0.958,3.52,45,19,2,Yes
140,Camille Stroman,Female,26,10/24/1998,South_Africa,Technical,Clerk,Low,On Site,11/7/2010,2/28/2012,1,Yes,No,Low Pay,0.72,0.75,3,183,16,Low,1,4,2196,0.25646,0.832,0.042,3.25,55,33,3,Yes
462,Ms. Teresa Parker V,Female,58,4/10/1966,Singapore,Sales,Executive,High,Remote,11/26/2010,6/21/2012,1,Yes,No,Work Environment,0.39,0.53,3,225,20,Medium,5,3,2700,0.03646,4.832,0.042,2.47,30,7,2,Yes
118,Dr. Norman Hand,Female,55,6/3/1970,Singapore,Management,Executive,High,Remote,9/18/2011,10/12/2012,1,Yes,No,Low Pay,0.4,0.57,1,123,28,Low,1,5,1476,0.07646,12.832,-1.958,4.43,50,25,6,Yes
316,Rebecca O'Kon,Male,30,1/30/1995,South_Africa,Finance,Manager,High,Remote,10/30/2011,10/8/2013,1,No,No,Financial Problem,0.61,0.29,5,178,3,Low,3,5,2136,-0.20354,-12.168,2.042,4.71,45,2,6,Yes
356,Ryan Tromp,Female,30,7/22/1994,South_Africa,Finance,Clerk,Low,Remote,4/2/2013,6/18/2014,1,Yes,No,Work Environment,0.53,0.25,2,184,18,Low,2,1,2208,-0.24354,2.832,-0.958,0.75,35,5,7,Yes
206,Jan Keebler,Male,42,1/10/1982,Singapore,Technical,Engineer,Medium,On Site,4/16/2013,9/22/2014,1,Yes,No,Personal Issue,0.66,0.9,1,198,16,Low,4,5,2376,0.40646,0.832,-1.958,4.1,30,29,0,Yes
231,Randall McClure,Male,51,6/8/1973,India,Sales,Engineer,Medium,Remote,9/7/2013,8/13/2015,1,Yes,No,Personal Issue,0.25,0.91,2,199,15,Low,2,1,2388,0.41646,-0.168,-0.958,0.09,60,7,2,Yes
241,Norman Paucek,Male,44,4/14/1981,United_Kingdom,Support,Executive,High,Remote,3/9/2015,2/18/2017,1,Yes,No,Personal Issue,0.78,0.96,4,193,7,Low,4,4,2316,0.46646,-8.168,1.042,3.04,60,34,3,Yes
153,Carl Schowalter,Male,57,8/11/1967,United_Kingdom,Sales,Analyst,Medium,On Site,6/2/2015,8/4/2016,1,Yes,No,Burn Out,0.61,0.6,4,125,6,Low,2,3,1500,0.10646,-9.168,1.042,2.4,35,15,4,Yes
479,Lance Gulgowski,Female,25,9/2/2000,India,Support,Manager,High,Work From Home,1/31/2016,7/6/2017,1,Yes,No,Personal Issue,0.59,0.02,4,200,12,Low,5,4,2400,-0.47354,-3.168,1.042,3.98,55,50,5,Yes
483,Kelly Hoppe,Female,44,7/4/1981,India,Sales,Engineer,Medium,On Site,7/29/2016,6/21/2018,1,Yes,No,Financial Problem,0.99,0.44,5,173,25,Low,3,4,2076,-0.05354,9.832,2.042,3.56,35,2,4,Yes
33,Shannon Dietrich,Male,27,10/10/1997,United_Kingdom,Sales,Analyst,Medium,Work From Home,7/26/2019,4/28/2021,1,Yes,No,Burn Out,0.13,0.52,5,179,11,Low,4,5,2148,0.02646,-4.168,2.042,4.48,35,10,7,Yes
499,Dr. Rafael Jakubowski,Female,58,6/29/1967,India,Finance,Clerk,Low,Remote,9/24/2019,5/6/2021,1,Yes,No,Health Issues,0.5,0.2,3,185,11,Low,4,4,2220,-0.29354,-4.168,0.042,3.8,55,8,3,Yes
192,Krista Bartoletti,Female,36,2/8/1988,South_Africa,Management,Clerk,Low,On Site,11/25/2019,6/2/2021,1,Yes,No,Financial Problem,0.39,0.5,1,161,5,Low,2,5,1932,0.00646,-10.168,-1.958,4.5,35,34,6,Yes
367,Dr. Roxanne Dicki MD,Female,45,8/23/1979,India,Technical,Executive,High,Work From Home,12/23/2019,2/26/2021,1,No,No,Work Environment,0.76,0.41,2,240,0,Medium,5,5,2880,-0.08354,-15.168,-0.958,4.59,45,38,4,Yes
110,Bernard Legros,Male,57,7/10/1967,Singapore,Technical,Engineer,Medium,On Site,5/28/2000,7/14/2002,2,No,No,Low Pay,0.84,0.44,4,232,26,Medium,3,2,2784,-0.05354,10.832,1.042,1.56,50,7,7,Yes
223,Dr. Brendan Cole,Male,25,10/27/1999,India,Support,Clerk,Low,Work From Home,6/10/2000,11/7/2002,2,No,No,Low Pay,0.6,0.6,4,179,18,Low,1,3,2148,0.10646,2.832,1.042,2.4,35,16,1,Yes
359,Patrick Conroy,Male,53,9/30/1971,India,Management,Manager,High,Remote,6/24/2000,11/1/2002,2,No,No,Financial Problem,0.66,0.5,3,173,17,Low,3,4,2076,0.00646,1.832,0.042,3.5,35,13,1,Yes
108,Harriet Kohler,Male,33,4/13/1992,South_Africa,Finance,Engineer,Medium,Work From Home,12/7/2000,1/17/2003,2,Yes,No,Financial Problem,0.14,0.9,3,217,11,Medium,5,1,2604,0.40646,-4.168,0.042,0.1,30,20,1,Yes
119,Willard Johnson,Female,39,1/31/1986,India,Sales,Analyst,Medium,On Site,5/7/2001,5/27/2003,2,No,No,Personal Issue,0.62,0.23,3,153,29,Low,3,5,1836,-0.26354,13.832,0.042,4.77,45,13,5,Yes
373,Gene Gorczany,Male,38,6/11/1986,United_Kingdom,Finance,Engineer,Medium,Remote,8/19/2001,11/21/2003,2,No,No,Burn Out,0.72,0.73,2,213,21,Medium,1,1,2556,0.23646,5.832,-0.958,0.27,35,7,4,Yes
493,Darryl Kassulke,Female,49,11/12/1975,United_Kingdom,Management,Analyst,Medium,Work From Home,3/1/2002,6/27/2004,2,No,No,Health Issues,0.32,0.58,1,145,24,Low,5,3,1740,0.08646,8.832,-1.958,2.42,55,38,0,Yes
281,Franklin Barrows,Male,27,8/27/1997,United_Kingdom,Support,Executive,High,On Site,6/29/2002,7/10/2004,2,Yes,No,Financial Problem,0.49,0.13,2,244,4,High,2,4,2928,-0.36354,-11.168,-0.958,3.87,55,28,0,Yes
490,Kelley Halvorson,Male,56,11/25/1968,Singapore,IT,Executive,High,Work From Home,1/6/2004,5/16/2006,2,Yes,No,Burn Out,0.14,0.89,3,222,28,Medium,4,1,2664,0.39646,12.832,0.042,0.11,45,30,1,Yes
347,Paulette Heaney,Female,33,4/20/1992,India,Management,Analyst,Medium,Work From Home,1/21/2004,6/15/2006,2,No,No,Low Pay,0.81,0.68,4,121,23,Low,3,1,1452,0.18646,7.832,1.042,0.32,50,0,7,Yes
285,Stacey Hessel,Male,32,7/15/1992,United_Kingdom,Management,Analyst,Medium,On Site,3/2/2004,7/3/2006,2,Yes,No,Burn Out,0.17,0.58,5,230,1,Medium,3,4,2760,0.08646,-14.168,2.042,3.42,35,13,1,Yes
49,Grant Lehner,Male,38,10/31/1986,United_Kingdom,Sales,Engineer,Medium,Remote,3/22/2004,5/16/2006,2,No,No,Health Issues,0.43,0.22,1,146,25,Low,2,5,1752,-0.27354,9.832,-1.958,4.78,55,21,1,Yes
14,Nellie Pouros DDS,Male,51,8/17/1973,Singapore,Support,Executive,High,Remote,7/31/2005,12/24/2007,2,No,No,Personal Issue,0.9,0.32,1,248,24,High,3,1,2976,-0.17354,8.832,-1.958,0.68,45,34,2,Yes
368,Ms. Opal Lemke,Female,26,12/18/1998,South_Africa,Management,Analyst,Medium,Remote,8/30/2005,3/31/2008,2,Yes,No,Work Environment,0.75,0.72,4,202,2,Medium,4,5,2424,0.22646,-13.168,1.042,4.28,55,43,2,Yes
349,Ms. Phyllis Streich-Batz,Female,33,5/3/1992,United_Kingdom,Finance,Manager,High,Work From Home,7/6/2006,2/16/2009,2,Yes,No,Financial Problem,0.19,0.41,1,124,24,Low,4,5,1488,-0.08354,8.832,-1.958,4.59,45,23,4,Yes
453,Dianne Brown,Female,38,9/17/1986,United_Kingdom,Technical,Manager,High,On Site,9/29/2006,1/20/2009,2,No,No,Work Environment,0.67,0.81,1,231,22,Medium,3,5,2772,0.31646,6.832,-1.958,4.19,30,18,2,Yes
289,Angelina DuBuque,Female,40,7/2/1985,United_Kingdom,Management,Analyst,Medium,Work From Home,4/21/2007,8/28/2009,2,No,No,Financial Problem,0.48,0.86,2,221,10,Medium,1,3,2652,0.36646,-5.168,-0.958,2.14,60,25,4,Yes
6,Jodi Goyette,Female,57,5/26/1968,Singapore,Sales,Analyst,Medium,Work From Home,5/31/2008,7/23/2010,2,Yes,No,Work Environment,0.43,0.21,4,173,28,Low,2,2,2076,-0.28354,12.832,1.042,1.79,55,36,4,Yes
398,Gerald Glover,Male,55,1/13/1970,Singapore,Management,Manager,High,Remote,12/6/2008,9/6/2011,2,No,No,Burn Out,0.21,1,4,169,3,Low,1,2,2028,0.50646,-12.168,1.042,1,35,8,2,Yes
395,Wm Beer II,Male,48,1/31/1977,India,Sales,Manager,High,Remote,7/3/2009,7/1/2012,2,Yes,No,Health Issues,0.41,0.13,4,167,20,Low,3,2,2004,-0.36354,4.832,1.042,1.87,55,11,6,Yes
220,Marcella McCullough-Stracke,Female,35,6/26/1990,South_Africa,Support,Clerk,Low,Work From Home,7/21/2009,9/15/2011,2,No,No,Personal Issue,0.76,0.68,3,189,23,Low,3,5,2268,0.18646,7.832,0.042,4.32,50,15,3,Yes
